Client_ID,Auto_Insurance_Contract,Health_Insurance_Contract,Home_Insurance_Contract,Life_Insurance_Contract,Coverage_Amount,Contract_Duration_Years,Assurance_Cost_Per_Month,Creditworthiness,Claims_History_Count,Last_Reported_Claim_Type,Last_Reported_Claim_Date,Last_Claim_Resolution_Type,Claim_Rate,Customer_Tenure_Years,Is_Premium_Client,Health_History,Risk_Profile,Recent_Life_Event,Recent_Life_Event_Date,Age,Annual_Income,Employment_Status,Has_Kids,Homeownership_Status,Type_of_Housing,Has_Car,Location,Primary_Transportation_Mode,Last_Interaction_Date,Last_Contract_Change_Date
1,1,0,1,1,52004,7,225,Excellent,1,Accident,02/12/2023,Conflicting,0.32,14,False,Fragile,Poor,,,56,72510,Unemployed,True,Own,Apartment,True,Urban,Public transportation,07/02/2024,212
2,1,1,0,1,48660,4,858,Excellent,0,Accident,09/07/2024,,,4,False,Fragile,High,,,69,75462,Unemployed,False,Own,Apartment,False,Urban,Biking,17/02/2024,280
3,0,1,1,0,42672,1,259,Average,4,Damage,18/10/2023,Conflicting,0.33,1,False,Fragile,High,Marriage,31/12/2023,46,71748,Unemployed,True,Own,Single-family home,False,Urban,Car,06/04/2023,153
4,0,1,1,0,89407,2,825,Poor,0,Damage,26/03/2024,,,2,False,Fragile,Poor,Marriage,27/10/2023,32,74520,Unemployed,True,Own,Apartment,False,Urban,Car,14/06/2024,459
5,1,1,1,0,92453,5,451,Excellent,3,Accident,27/05/2024,Standard,0.32,5,False,Good,High,Moved,11/02/2023,60,640210,Unemployed,True,Own,Townhouse,False,Urban,Walking,15/02/2025,383
6,1,0,1,1,35797,1,937,Excellent,2,Accident,15/12/2023,Conflicting,0.29,5,False,Medium,Poor,Job Change,01/08/2025,25,73406,Unemployed,True,Rent,Townhouse,True,Rural,Car,30/09/2023,161
7,1,0,1,1,84604,3,700,Average,1,Accident,21/08/2023,Standard,0.24,12,False,Unknown,Poor,New Baby,05/03/2024,38,3584362,Unemployed,True,Rent,Single-family home,True,Rural,Public transportation,06/11/2023,345
8,0,0,1,0,37515,6,878,Average,0,Theft,09/04/2024,,,8,False,Unknown,Poor,Moved,23/06/2023,56,70066,Unemployed,True,Own,Townhouse,True,Suburban,Public transportation,29/04/2024,164
9,0,1,0,0,88535,6,217,Average,2,Damage,11/03/2024,Fast,0.22,12,False,Medium,Poor,,,36,69636,Unemployed,True,Own,Apartment,True,Suburban,Public transportation,14/05/2023,492
10,0,1,1,1,93086,5,237,Poor,0,Damage,16/05/2024,,,12,False,Unknown,High,,,40,5188124,Unemployed,True,Own,Apartment,False,Urban,Biking,18/01/2024,382
11,0,1,0,1,68793,1,835,Average,3,Damage,03/09/2024,Conflicting,0.02,6,False,Fragile,High,Moved,09/07/2024,28,68944,Unemployed,True,Rent,Townhouse,False,Urban,Car,23/02/2024,442
12,1,1,0,1,78422,5,408,Excellent,0,Accident,18/04/2024,,,5,False,Medium,Medium,Job Change,05/11/2024,28,66796,Unemployed,True,Own,Single-family home,True,Urban,Car,26/02/2025,249
13,1,0,1,0,45705,3,524,Average,0,Accident,18/10/2023,,,3,False,Unknown,High,New Baby,15/05/2023,41,9892000,Unemployed,True,Own,Single-family home,True,Rural,Car,16/10/2024,248
14,0,1,1,0,87066,5,169,Average,4,Damage,26/03/2025,Conflicting,0.96,5,False,Fragile,Poor,,,70,35349,Unemployed,True,Own,Apartment,True,Suburban,Public transportation,31/05/2023,402
15,1,0,1,0,87982,4,268,Average,1,Accident,23/05/2023,Conflicting,0.14,10,False,Medium,Medium,Marriage,03/08/2025,53,73964,Unemployed,False,Rent,Single-family home,True,Suburban,Public transportation,23/12/2023,194
16,0,1,1,0,18061,9,382,Poor,4,Damage,05/03/2025,Standard,0.08,9,False,Unknown,Poor,Job Change,20/10/2023,57,756798,Unemployed,True,Rent,Apartment,True,Rural,Car,22/09/2024,440
17,1,1,0,1,68442,4,397,Poor,2,Accident,15/09/2024,Standard,0.83,17,False,Medium,High,Job Change,09/09/2023,41,1011213,Unemployed,True,Rent,Apartment,True,Urban,Car,17/01/2025,214
18,0,0,1,0,47697,1,424,Average,1,Theft,18/07/2023,Standard,0.44,1,False,Unknown,Medium,Moved,18/12/2024,20,66298,Unemployed,True,Own,Single-family home,True,Urban,Car,12/03/2024,254
19,1,1,0,0,68913,3,128,Average,3,Accident,13/07/2023,Fast,0.73,3,False,Medium,High,,,39,3856805,Unemployed,True,Own,Apartment,False,Rural,Public transportation,18/07/2024,277
20,1,1,1,0,61109,1,577,Good,2,Accident,26/06/2024,Fast,0.32,19,False,Unknown,Medium,,,70,70496,Unemployed,True,Own,Single-family home,True,Urban,Public transportation,14/04/2023,341
21,1,1,1,0,22949,0,381,Average,0,Accident,04/01/2025,,,0,False,Good,Medium,Job Change,07/11/2023,19,233049,Unemployed,True,Rent,Apartment,False,Urban,Biking,15/09/2024,116
22,1,1,0,1,28134,2,193,Excellent,2,Accident,06/04/2023,Conflicting,0.43,4,False,Fragile,Poor,,,41,66856,Unemployed,True,Own,Single-family home,True,Urban,Car,29/05/2024,291
23,1,1,0,1,53954,4,863,Average,4,Accident,10/03/2025,Conflicting,0.84,6,False,Unknown,Medium,Job Change,17/10/2023,61,3270292,Unemployed,True,Own,Townhouse,True,Urban,Biking,18/12/2023,226
24,1,1,0,1,71574,2,381,Excellent,4,Accident,25/05/2024,Fast,0.16,13,False,Medium,High,Marriage,12/11/2023,47,65642,Unemployed,True,Own,Single-family home,False,Suburban,Car,30/05/2023,362
25,1,0,0,0,23174,4,155,Excellent,4,Accident,09/04/2024,Standard,0.68,8,True,Unknown,High,Marriage,07/03/2023,55,72402,Unemployed,True,Own,Apartment,False,Urban,Biking,15/02/2025,387
26,0,1,0,0,89008,0,840,Excellent,0,Damage,27/11/2024,,,0,False,Unknown,Medium,Job Change,04/04/2024,19,74310,Unemployed,True,Own,Single-family home,True,Urban,Public transportation,03/09/2024,272
27,0,1,1,1,33247,6,611,Poor,4,Damage,28/03/2024,Standard,0.64,13,False,Medium,High,Moved,18/06/2023,38,69002,Unemployed,True,Rent,Townhouse,True,Urban,Public transportation,08/03/2023,228
28,1,1,0,0,51430,3,691,Poor,3,Accident,20/05/2023,Conflicting,0.76,3,False,Good,Medium,,,50,1538406,Unemployed,True,Rent,Apartment,False,Urban,Public transportation,27/01/2025,422
29,1,0,0,0,63161,3,431,Excellent,3,Accident,26/04/2024,Standard,0.35,3,False,Good,Poor,Moved,11/03/2023,29,5579421,Unemployed,True,Rent,Single-family home,True,Rural,Biking,28/09/2023,232
30,0,0,0,1,22244,3,856,Excellent,3,,,Conflicting,0.84,3,False,Medium,Medium,,,39,6252651,Unemployed,False,Own,Apartment,True,Urban,Car,30/07/2024,283
31,1,0,0,1,99714,6,442,Poor,2,Accident,11/03/2025,Conflicting,0.78,14,False,Fragile,Medium,Moved,12/02/2024,61,71376,Unemployed,True,Own,Single-family home,False,Urban,Public transportation,05/02/2023,236
32,1,1,0,1,81882,7,974,Good,3,Accident,05/06/2024,Standard,0.66,14,False,Unknown,Medium,Marriage,08/10/2024,42,3907114,Unemployed,True,Rent,Apartment,False,Urban,Walking,10/01/2023,412
33,0,1,0,0,47268,5,110,Average,4,Damage,14/04/2023,Standard,0.13,6,False,Medium,Medium,,,66,239639,Unemployed,True,Own,Apartment,True,Rural,Biking,07/08/2024,351
34,1,0,1,1,80342,8,231,Poor,2,Accident,31/05/2024,Conflicting,0.2,8,False,Unknown,High,Marriage,21/06/2024,44,5922905,Unemployed,True,Own,Apartment,True,Urban,Car,11/01/2023,242
35,0,1,0,1,35293,4,279,Average,3,Damage,21/03/2025,Fast,0.03,17,False,Fragile,Poor,Moved,30/10/2024,59,875085,Unemployed,True,Own,Apartment,True,Rural,Biking,27/08/2023,388
36,1,0,1,1,11301,0,129,Excellent,1,Accident,29/10/2023,Standard,0.32,0,False,Fragile,Medium,Moved,24/10/2023,45,490898,Unemployed,True,Own,Townhouse,False,Urban,Public transportation,30/06/2024,337
37,0,1,1,0,31419,7,900,Good,4,Damage,07/08/2024,Conflicting,0.63,13,False,Good,Poor,New Baby,12/12/2024,33,69972,Unemployed,True,Own,Single-family home,False,Urban,Biking,04/03/2025,454
38,1,1,0,0,32979,2,343,Average,0,Accident,13/07/2023,,,8,False,Good,High,,,32,8440036,Unemployed,True,Rent,Single-family home,False,Suburban,Car,17/04/2023,278
39,0,1,0,0,32872,6,221,Excellent,2,Damage,26/01/2024,Conflicting,0.02,17,False,Good,High,Job Change,17/06/2023,64,50958,Unemployed,True,Own,Single-family home,True,Urban,Biking,21/07/2024,290
40,1,1,0,1,28312,6,410,Good,4,Accident,29/08/2024,Fast,0.21,16,False,Medium,High,,,68,74064,Unemployed,True,Own,Single-family home,True,Urban,Walking,13/03/2024,276
41,0,1,0,1,86336,1,858,Good,3,Damage,01/07/2024,Standard,0.25,5,False,Fragile,Medium,,,61,69066,Unemployed,True,Own,Apartment,False,Urban,Public transportation,22/02/2024,137
42,0,1,1,0,50713,6,832,Excellent,3,Damage,23/09/2024,Standard,0.15,8,False,Unknown,Medium,,,69,73738,Unemployed,True,Own,Single-family home,False,Urban,Public transportation,21/12/2024,237
43,1,0,1,0,49336,1,108,Good,3,Accident,22/01/2024,Conflicting,0.88,1,False,Good,Poor,,,20,70502,Unemployed,True,Own,Apartment,True,Urban,Car,24/02/2025,318
44,0,1,1,1,90255,0,155,Excellent,4,Damage,06/07/2024,Conflicting,0.22,0,False,Medium,Poor,New Baby,03/10/2025,54,70586,Unemployed,True,Own,Apartment,True,Urban,Public transportation,01/04/2025,350
45,0,0,1,0,81615,3,840,Excellent,3,Theft,22/06/2023,Fast,0.91,10,False,Medium,Medium,Moved,29/08/2024,68,6366832,Unemployed,True,Own,Apartment,False,Urban,Car,17/01/2025,443
46,0,1,1,1,26045,3,365,Excellent,2,Damage,30/09/2023,Conflicting,0.41,3,False,Unknown,Medium,New Baby,12/12/2023,24,65836,Unemployed,True,Own,Single-family home,True,Urban,Public transportation,29/11/2023,256
47,0,0,1,0,50348,8,537,Poor,1,Theft,01/03/2025,Fast,0.56,9,False,Unknown,Medium,New Baby,12/08/2023,38,73828,Unemployed,True,Rent,Townhouse,True,Suburban,Public transportation,25/11/2024,408
48,1,1,1,0,78203,1,900,Excellent,4,Accident,14/03/2025,Conflicting,0.57,6,False,Fragile,High,Marriage,17/04/2024,26,5350468,Unemployed,True,Rent,Townhouse,False,Urban,Car,07/04/2023,257
49,1,0,1,0,63947,1,445,Excellent,1,Accident,08/11/2023,Fast,0.83,3,False,Unknown,High,,,56,74820,Unemployed,True,Own,Single-family home,True,Urban,Biking,11/02/2023,334
50,1,1,1,0,32568,4,648,Average,1,Accident,15/08/2024,Fast,0.51,11,True,Fragile,Medium,Marriage,04/05/2024,35,590478,Unemployed,True,Rent,Apartment,False,Urban,Biking,12/01/2023,295
51,1,1,0,1,12821,1,857,Excellent,0,Accident,09/02/2025,,,1,False,Unknown,Medium,New Baby,07/12/2024,21,1248886,Unemployed,True,Own,Apartment,False,Urban,Car,13/06/2023,315
52,1,0,1,1,26848,2,403,Excellent,2,Accident,20/02/2024,Fast,0.25,2,False,Good,High,Moved,19/11/2024,42,65970,Unemployed,True,Own,Single-family home,False,Urban,Public transportation,25/08/2023,358
53,0,1,1,0,46495,1,174,Average,0,Damage,07/07/2024,,,11,False,Fragile,Poor,New Baby,11/09/2024,31,68644,Unemployed,False,Own,Apartment,True,Suburban,Car,12/10/2024,309
54,0,1,0,0,21289,3,497,Good,1,Damage,13/02/2024,Fast,0.34,11,False,Good,High,,,67,68054,Unemployed,True,Rent,Apartment,True,Suburban,Car,10/06/2023,163
55,1,0,0,0,77429,1,761,Good,2,Accident,04/03/2025,Standard,0.82,1,False,Good,Poor,Job Change,15/11/2023,26,74042,Unemployed,True,Rent,Single-family home,True,Urban,Car,05/05/2023,315
56,0,1,0,1,70758,6,355,Good,3,Damage,25/01/2025,Conflicting,0.77,8,False,Fragile,Poor,Marriage,01/05/2024,43,71074,Unemployed,False,Rent,Townhouse,False,Urban,Car,22/07/2024,152
57,1,0,1,1,91078,3,757,Good,2,Accident,08/07/2024,Conflicting,0.49,8,False,Good,Medium,Moved,30/06/2024,70,9061674,Unemployed,True,Own,Apartment,True,Urban,Public transportation,03/07/2025,251
58,1,0,0,0,17673,0,984,Excellent,2,Accident,24/06/2024,Standard,0.21,0,False,Unknown,Medium,Job Change,28/04/2023,19,66402,Unemployed,True,Own,Single-family home,True,Rural,Public transportation,03/09/2025,258
59,1,0,0,1,83977,4,839,Average,3,Accident,06/09/2024,Standard,0.93,4,False,Good,Medium,,,37,71332,Unemployed,False,Own,Apartment,True,Urban,Car,01/09/2024,117
